ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION
46011,Winnipeg Centre,Winnipeg-Centre,85949
46012,Winnipeg North,Winnipeg-Nord,95676
46013,Winnipeg South,Winnipeg-Sud,99678
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,93053
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,73506
47002,Cypress Hills--Grasslands,Cypress Hills--Grasslands,68353
47003,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,70891
47004,Carlton Trail--Eagle Creek,Sentier Carlton--Eagle Creek,80662
47005,Moose Jaw--Lake Centre--Lanigan,Moose Jaw--Lake Centre--Lanigan,79733
47006,Prince Albert,Prince Albert,79625
47007,Regina--Lewvan,Regina--Lewvan,92426
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,76017
47009,Regina--Wascana,Regina--Wascana,84153
47010,Saskatoon--Grasswood,Saskatoon--Grasswood,82946
47011,Saskatoon--University,Saskatoon--University,82663
47012,Saskatoon West,Saskatoon-Ouest,83711
47013,Souris--Moose Mountain,Souris--Moose Mountain,72635
47014,Yorkton--Melville,Yorkton--Melville,71031
48001,Banff--Airdrie,Banff--Airdrie,135762
48002,Battle River--Crowfoot,Battle River--Crowfoot,110223
48003,Bow River,Bow River,115022
48004,Calgary Centre,Calgary-Centre,119176
48005,Calgary Confederation,Calgary Confederation,122023
48006,Calgary Forest Lawn,Calgary Forest Lawn,111830
48007,Calgary Heritage,Calgary Heritage,112087
48008,Calgary Midnapore,Calgary Midnapore,121844
48009,Calgary Nose Hill,Calgary Nose Hill,115795
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,131823
48011,Calgary Shepard,Calgary Shepard,147520
48012,Calgary Signal Hill,Calgary Signal Hill,121392
48013,Calgary Skyview,Calgary Skyview,135730
48014,Edmonton Centre,Edmonton-Centre,109941
48015,Edmonton Griesbach,Edmonton Griesbach,112287
48016,Edmonton Manning,Edmonton Manning,121048
48017,Edmonton Mill Woods,Edmonton Mill Woods,118561
48018,Edmonton Riverbend,Edmonton Riverbend,120863
48019,Edmonton Strathcona,Edmonton Strathcona,106066
48020,Edmonton West,Edmonton-Ouest,121869
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,158749
48022,Foothills,Foothills,113227
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,110230
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,117327
48025,Lakeland,Lakeland,108451
48026,Lethbridge,Lethbridge,117394
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,106896
48028,Peace River--Westlock,Peace River--Westlock,109965
48029,Red Deer--Mountain View,Red Deer--Mountain View,119019
48030,Red Deer--Lacombe,Red Deer--Lacombe,128786
48031,St. Albert--Edmonton,St. Albert--Edmonton,121313
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,122193
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,120784
48034,Yellowhead,Yellowhead,101979
59001,Abbotsford,Abbotsford,101814
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,102486
59003,Burnaby South,Burnaby-Sud,111973
59004,Cariboo--Prince George,Cariboo--Prince George,108907
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,110293
59006,Chilliwack--Hope,Chilliwack--Hope,100126
59007,Cloverdale--Langley City,Cloverdale--Langley City,117640
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,123576
59009,Courtenay--Alberni,Courtenay--Alberni,114647
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,108052
59011,Delta,Delta,103064
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,116958
59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,124358
59014,Kelowna--Lake Country,Kelowna--Lake Country,119388
59015,Kootenay--Columbia,Kootenay--Columbia,112354
59016,Langley--Aldergrove,Langley--Aldergrove,117017
59017,Mission--Matsqui--Fraser Canyon,Mission--Matsqui--Fraser Canyon,94825
59018,Nanaimo--Ladysmith,Nanaimo--Ladysmith,122710
59019,New Westminster--Burnaby,New Westminster--Burnaby,115340
59020,North Okanagan--Shuswap,North Okanagan--Shuswap,124605
59021,North Vancouver,North Vancouver,115344
59022,Pitt Meadows--Maple Ridge,Pitt Meadows--Maple Ridge,101101
59023,Port Moody--Coquitlam,Port Moody--Coquitlam,110817
59024,Prince George--Peace River--Northern Rockies,Prince George--Peace River--Northern Rockies,110995
59025,Richmond Centre,Richmond-Centre,98396
59026,Esquimalt--Saanich--Sooke,Esquimalt--Saanich--Sooke,120834
59027,Saanich--Gulf Islands,Saanich--Gulf Islands,107339
59028,Skeena--Bulkley Valley,Skeena--Bulkley Valley,88920
59029,South Okanagan--West Kootenay,Okanagan-Sud--Kootenay-Ouest,114695
59030,South Surrey--White Rock,Surrey-Sud--White Rock,104051
59031,Steveston--Richmond East,Steveston--Richmond-Est,99913
59032,Surrey Centre,Surrey-Centre,120172
59033,Surrey--Newton,Surrey--Newton,114605
59034,Vancouver Centre,Vancouver-Centre,116443
59035,Vancouver East,Vancouver-Est,115724
59036,Vancouver Granville,Vancouver Granville,103456
59037,North Island--Powell River,North Island--Powell River,105466
59038,Vancouver Kingsway,Vancouver Kingsway,104870
59039,Vancouver Quadra,Vancouver Quadra,105608
59040,Vancouver South,Vancouver-Sud,102927
59041,Victoria,Victoria,117133
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,119113
60001,Yukon,Yukon,35874
61001,Northwest Territories,Territoires du Nord-Ouest,41786
62001,Nunavut,Nunavut,35944
